origin,group,action,target
4,'0123456789',∈,4
4,∅,∉,INT
5,'=',∉,LV
5,'=',∈,LV_EQUAL
5,∅,∉,LV
6,'=',∈,EQUAL_EQUAL
6,'=',∉,EQUAL
6,∅,∉,EQUAL
7,'=',∉,RV
7,'=',∈,RV_EQUAL
7,∅,∉,RV
8,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz',∉,VAR
8,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz',∈,8
8,∅,∉,VAR
9,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmopqrstuvwxyz',∉,VAR
9,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmopqrstuvwxyz',∈,8
9,'n',∉,VAR
9,'n',∈,16
9,∅,∉,VAR
10,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnpqrstuvwxyz',∉,VAR
10,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnpqrstuvwxyz',∈,8
10,'o',∉,VAR
10,'o',∈,17
10,∅,∉,VAR
11,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqstuvwxyz',∉,VAR
11,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqstuvwxyz',∈,8
11,'r',∉,VAR
11,'r',∈,18
11,∅,∉,VAR
12,'²³¹⁰⁴⁵⁶⁷⁸⁹',∈,12
12,'²³¹⁰⁴⁵⁶⁷⁸⁹',∉,INT_POW
12,∅,∉,INT_POW
13,'\\n',∈,13
13,'\\n',∉,NEWLINE
13,∅,∉,NEWLINE
14,'0123456789',∈,14
14,'0123456789',∉,FLOAT
14,∅,∉,FLOAT
15,'.',∈,14
15,∅,∉,!FLOAT
16,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcefghijklmnopqrstuvwxyz',∉,VAR
16,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcefghijklmnopqrstuvwxyz',∈,8
16,'d',∈,19
16,'d',∉,VAR
16,∅,∉,VAR
17,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrsuvwxyz',∉,VAR
17,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrsuvwxyz',∈,8
17,'t',∉,VAR
17,'t',∈,20
17,∅,∉,VAR
18,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz',∉,KW_OR
18,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz',∈,8
18,∅,∉,KW_OR
19,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz',∉,KW_AND
19,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz',∈,8
19,∅,∉,KW_AND
20,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz',∉,KW_NOT
20,'0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ_abcdefghijklmnopqrstuvwxyz',∈,8
20,∅,∉,KW_NOT
